,title,author,date,INSPEC,DOI,citations,publisher,url
0,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions","Mostafa Zaman Chowdhury, Md. Shahjalal, Shakil Ahmed, Yeong Min Jang",20 July 2020,19955163,10.1109/OJCOMS.2020.3010270,172,IEEE,https://ieeexplore.ieee.org/document/9144301
1,Terahertz communication for vehicular networks,"S. Mumtaz et al., ",17 July 2017,17026925,10.1109/TVT.2017.2712878,106,IEEE,https://ieeexplore.ieee.org/document/7982949
2,IMT traffic estimates for the years 2020 to 2030,,,0,,0,,
3,Quantum machine learning for 6G communica-tion networks: State-of-the-art and vision for the future,"S. J. Nawaz, S. K. Sharma, S. Wyne, M. N. Patwary, andM. Asaduzzaman, ",15 April 2019,18609246,10.1109/ACCESS.2019.2909490,170,IEEE,https://ieeexplore.ieee.org/document/8681450
4,Toward 6G networks: Use cases and technologies,"M. Giordani, M. Polese, M. Mezzavilla, S. Rangan, and M. Zorzi,",18 March 2020,19469688,10.1109/MCOM.001.1900411,370,IEEE,https://ieeexplore.ieee.org/abstract/document/9040264
5,"5G: A tutorial overview of standards, trials, chal-lenges, deployment, and practice","M. Shafi et al., ",02 June 2017,16915203,10.1109/JSAC.2017.2692307,1036,IEEE,https://ieeexplore.ieee.org/document/7894280
6,Oneintegrated energy efficiency proposal for 5G IoT communications,"D. Zhang, Z. Zhou, S. Mumtaz, J. Rodriguez, and T. Sato, ",23 May 2017,16585155,10.1109/JIOT.2016.2599852,70,IEEE,http://ieeexplore.ieee.org/abstract/document/7542566/
7,5G backhaulchallenges and emerging research directions: A survey,"M. Jaber, M. A. Imran, R. Tafazolli, and A. Tukmanov, ",23 May 2017,15977764,10.1109/ACCESS.2016.2556011,341,IEEE,http://ieeexplore.ieee.org/document/7456186
8,What will 5G be,"J. G. Andrews et al., ",22 July 2014,14469237,10.1109/JSAC.2014.2328098,5476,IEEE,https://ieeexplore.ieee.org/document/6824752
9,Communications in the 6Gera,"H. Viswanathan and P. E. Mogensen, ",,0,,0,IEEE,
10,6G: The next frontier: From holographic mes-saging to artificial intelligence using subterahertz and visible lightcommunication,"E. C. Strinati et al., ",20 August 2019,18920911,10.1109/MVT.2019.2921162,191,IEEE,https://ieeexplore.ieee.org/document/8792135
11,"A vision of 6G wireless systems:Applications, trends, technologies, and open research problems","W. Saad, M. Bennis, and M. Chen, ",02 June 2020,19669258,10.1109/MNET.001.1900287,859,IEEE,https://ieeexplore.ieee.org/document/8869705
13,6G vision and requirements: Is there anyneed for beyond 5G,"K. David and H. Berndt, ",30 August 2018,18058905,10.1109/MVT.2018.2848498,247,IEEE,https://ieeexplore.ieee.org/document/8412482
14,A speculative study on 6G,"F. Tariq, M. Khandaker, K.-K. Wong, M. Imran, M. Bennis, andM. Debbah, ",,0,,0,,
15,Key drivers and research challenges for 6G ubiquitous wirelessintelligence,,,0,,0,,
16,UAV communications for 5G and beyond:Recent advances and future trends,"B. Li, Z. Fei, and Y. Zhang, ",08 May 2019,18653884,10.1109/JIOT.2018.2887086,408,IEEE,https://ieeexplore.ieee.org/document/8579209
17,5G evolution and 6G,,,0,,0,,
18,Theroadmap to 6G: AI empowered wireless networks,"K. B. Letaief, W. Chen, Y. Shi, J. Zhang, and Y. A. Zhang, ",21 August 2019,18937666,10.1109/MCOM.2019.1900271,543,IEEE,https://ieeexplore.ieee.org/document/8808168
19,Artificial intelligence-based resource allocation inultradense networks: Applying event-triggered Q-learning algorithms,"H. Zhang, M. Feng, K. Long, G. K. Karagiannidis, andA. Nallanathan, ",20 November 2019,0,10.1109/MVT.2019.2938328,12,IEEE,https://ieeexplore.ieee.org/document/8871153
20,Interferencemanagement based on RT/nRT traffic classification for FFR-aidedsmall cell/macrocell heterogeneous networks,"M. Z. Chowdhury, M. T. Hossan, and Y. M. Jang, ",29 June 2018,17905713,10.1109/ACCESS.2018.2844843,12,IEEE,https://ieeexplore.ieee.org/document/8400388
21,Game-based approach for QoS provisioning and interference managementin heterogeneous networks,"A. S. M. Zadid Shifat, M. Z. Chowdhury, and Y. M. Jang, ",13 March 2018,17627839,10.1109/ACCESS.2017.2704094,11,IEEE,https://ieeexplore.ieee.org/document/7936481
22,Impact of small cells overlappingon mobility management,"A. J. Mahbas, H. Zhu, and J. Wang, ",06 May 2019,18470423,10.1109/TWC.2018.2889465,10,IEEE,https://ieeexplore.ieee.org/document/8605528
23,Joint cell activation and selectionfor green communications in ultra-dense heterogeneous networks,"T. Zhou, N. Jiang, Z. Liu, and C. Li, ",14 February 2018,17573777,10.1109/ACCESS.2017.2780818,30,IEEE,https://ieeexplore.ieee.org/document/8169674
24,Future ofultra-dense networks beyond 5G: Harnessing heterogeneous movingcells,"S. Andreev, V. Petrov, M. Dohler, and H. Yanikomeroglu, ",18 June 2019,18757658,10.1109/MCOM.2019.1800056,60,IEEE,https://ieeexplore.ieee.org/document/8722593
26,An application of wire-less brain–computer interface for drowsiness detection,"A. K. Tripathy, S. Chinara, and M. Sarkar, ",,0,,0,,
27,Wireless brain computer interface for smarthome and medical system,"S. R. A. Jafri et al., ",,0,,0,,
29,Wireless battery-free body sensor networks using near-field-enabled clothing,"R. Lin et al., ",,0,,0,,
30,Multi-sensor fusion in body sensor networks: State-of-the-art and researchchallenges,"R. Gravinaa, P. Aliniab, H. Ghasemzadehb, and G. Fortinoa, ",,0,,0,,
33,6G wireless communica-tions: Vision and potential techniques,"P. Yang, Y. Xiao, M. Xiao, and S. Li, ",31 July 2019,18881530,10.1109/MNET.2019.1800418,290,IEEE,https://ieeexplore.ieee.org/document/8782879
34,6G: The wireless communica-tions network for collaborative and AI applications,"R. A. Stoica and G. T. F. Abreu, ",,0,,0,,
35,"Edge AI: Avision for distributed, edge-native artificial intelligence in future 6Gnetworks","L. Loven, E. Peltonen, T. Leppänen, and J. Partala, ",,0,,0,,
36,From 5G to 6G: Has the time for modern randomaccess come,"F. Clazzer, A. Munari, G. Liva, F. Lazaro, C. Stefanovic, andP. Popovski, ",,0,,0,,
37,Six key enablers for machine type communicationin 6G,"N. H. Mahmood, H. Alves, O. A. López, M. Shehab, D. P. M. Osorio,and M. Latva-Aho, ",,0,,0,,
38,A survey of intelligent reflecting surfaces (IRSs): Towards6G wireless communication networks,"J. Zhao, ",,0,,0,,
39,Terahertz band: Next frontierfor wireless communications,"I. F. Akyildiz, J. M. Jornet, and C. Han, ",,0,,0,,
40,"Terahertz bandcommunication systems: Challenges, novelties and standardizationefforts","K. Tekbıyık, A. R. Ekti, G. K. Kurt, and A. Görçinad, ",,0,,0,,
41,Technology trends of active services in the frequency range275-3 000 GHz,,,0,,0,,
42,Acomparative survey of optical wireless technologies: Architectures andapplications,"M. Z. Chowdhury, M. T. Hossan, A. Islam, and Y. Min Jang, ",13 March 2018,17649076,10.1109/ACCESS.2018.2792419,217,IEEE,https://ieeexplore.ieee.org/document/8259465
43,Wireless communications and applicationsabove 100 GHz: Opportunities and challenges for 6G and beyond,"T. S. Rappaport et al., ",25 June 2019,18770124,10.1109/ACCESS.2019.2921522,527,IEEE,https://ieeexplore.ieee.org/document/8732419
44,Integrated RF/optical wireless networks for improving QoS in indoorand transportation applications,"M. Z. Chowdhury, M. T. Hossan, M. K. Hasan, and Y. M. Jang,",,0,,0,,
45,"Optical wireless hybrid networks: Trends, opportunities,challenges, and research directions","M. Z. Chowdhury, M. K. Hasan, M. Shahjalal, M. T. Hossan andY. M. Jang, ",27 May 2020,19649690,10.1109/COMST.2020.2966855,55,IEEE,http://ieeexplore.ieee.org/document/8960379
46,"Human bond communication with head-mounted displays: Scope,challenges, solutions, and applications","M. T. Hossan, M. Z. Chowdhury, M. Shahjalal, and Y. M. Jang,",21 February 2019,18470651,10.1109/MCOM.2018.1800527,14,IEEE,https://ieeexplore.ieee.org/document/8647107
47,Network topology reconfig-uration for FSO-based fronthaul/backhaul in 5G+ wireless networks,"Z. Gu, J. Zhang, Y. Ji, L. Bai, and X. Sun, ",04 December 2018,18495784,10.1109/ACCESS.2018.2880880,25,IEEE,https://ieeexplore.ieee.org/document/8532444
48,Hybridradio/free-space optical design for next generation backhaul systems,"A. Douik, H. Dahrouj, T. Y. Al-Naffouri, and M. Alouini, ",14 June 2016,16073095,10.1109/TCOMM.2016.2557789,48,IEEE,https://ieeexplore.ieee.org/document/7458183
49,Performance analysis of hybrid FSO systems using FSO/RF-FSOlink adaptation,"B. Bag, A. Das, I. S. Ansari, A. Prokeš, C. Bose, and A. Chandra,",26 June 2018,17867553,10.1109/JPHOT.2018.2837356,43,IEEE,https://ieeexplore.ieee.org/document/8360015
50,Fronthauling for 5G LTE-U ultra dense cloud small cell networks,"H. Zhang, Y. Dong, J. Cheng, M. J. Hossain, and V. C. M. Leung,",10 January 2017,16597965,10.1109/MWC.2016.1600066WC,184,IEEE,https://ieeexplore.ieee.org/document/7811838
51,Antenna selection and powerallocation design for 5G massive MIMO uplink networks,"H. Gao, Y. Su, S. Zhang, and M. Diao, ",,0,,0,,
52,Modified conjugate beam-forming for cell-free massive MIMO,"M. Attarifar, A. Abbasfar, and A. Lozano, ",06 May 2019,18598658,10.1109/LWC.2018.2890470,36,IEEE,https://ieeexplore.ieee.org/document/8599043
53,Wireless communications through reconfigurableintelligent surfaces,"E. Basar, M. Di Renzo, J. de Rosny, M. Debbah, M. Alouini,and R. Zhang, ",28 August 2019,18929395,10.1109/ACCESS.2019.2935192,705,IEEE,https://ieeexplore.ieee.org/document/8796365
54,Blockchain access privacy:Challenges and directions,"R. Henry, A. Herzberg, and A. Kate, ",06 August 2018,18023283,10.1109/MSP.2018.3111245,106,IEEE,https://ieeexplore.ieee.org/document/8425613
55,Blockchain technologies: Theforeseeable impact on society and industry,"T. Aste, P. Tasca, and T. Di Matteo, ",,0,,0,,
56,Blockchain and the Internet of Things in the industrialsector,"D. Miller, ",,0,,0,,
57,Blockchain for 5G and beyond networks: A state of the art survey,"D. C. Nguyen, P. N. Pathirana, M. Ding, and A. Seneviratne,",,0,,0,,
