id,DOI,title
0,10.1109/OJCOMS.2020.3010270,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions"
1,10.1109/TVT.2017.2712878,Terahertz communication for vehicular networks
2,10.1109/ACCESS.2019.2909490,Quantum machine learning for 6G communica-tion networks: State-of-the-art and vision for the future
3,10.1109/MCOM.001.1900411,Toward 6G networks: Use cases and technologies
4,10.1109/JSAC.2017.2692307,"5G: A tutorial overview of standards, trials, chal-lenges, deployment, and practice"
5,10.1109/JIOT.2016.2599852,Oneintegrated energy efficiency proposal for 5G IoT communications
6,10.1109/ACCESS.2016.2556011,5G backhaulchallenges and emerging research directions: A survey
7,10.1109/JSAC.2014.2328098,What will 5G be
8,10.1109/MVT.2019.2921162,6G: The next frontier: From holographic mes-saging to artificial intelligence using subterahertz and visible lightcommunication
9,10.1109/MNET.001.1900287,"A vision of 6G wireless systems:Applications, trends, technologies, and open research problems"
10,10.1109/MVT.2018.2848498,6G vision and requirements: Is there anyneed for beyond 5G
11,10.1109/JIOT.2018.2887086,UAV communications for 5G and beyond:Recent advances and future trends
12,10.1109/MCOM.2019.1900271,Theroadmap to 6G: AI empowered wireless networks
13,10.1109/MVT.2019.2938328,Artificial intelligence-based resource allocation inultradense networks: Applying event-triggered Q-learning algorithms
14,10.1109/ACCESS.2018.2844843,Interferencemanagement based on RT/nRT traffic classification for FFR-aidedsmall cell/macrocell heterogeneous networks
15,10.1109/ACCESS.2017.2704094,Game-based approach for QoS provisioning and interference managementin heterogeneous networks
16,10.1109/TWC.2018.2889465,Impact of small cells overlappingon mobility management
17,10.1109/ACCESS.2017.2780818,Joint cell activation and selectionfor green communications in ultra-dense heterogeneous networks
18,10.1109/MCOM.2019.1800056,Future ofultra-dense networks beyond 5G: Harnessing heterogeneous movingcells
19,10.1109/MNET.2019.1800418,6G wireless communica-tions: Vision and potential techniques
20,10.1109/ACCESS.2018.2792419,Acomparative survey of optical wireless technologies: Architectures andapplications
21,10.1109/ACCESS.2019.2921522,Wireless communications and applicationsabove 100 GHz: Opportunities and challenges for 6G and beyond
22,10.1109/COMST.2020.2966855,"Optical wireless hybrid networks: Trends, opportunities,challenges, and research directions"
23,10.1109/MCOM.2018.1800527,"Human bond communication with head-mounted displays: Scope,challenges, solutions, and applications"
24,10.1109/ACCESS.2018.2880880,Network topology reconfig-uration for FSO-based fronthaul/backhaul in 5G+ wireless networks
25,10.1109/TCOMM.2016.2557789,Hybridradio/free-space optical design for next generation backhaul systems
26,10.1109/JPHOT.2018.2837356,Performance analysis of hybrid FSO systems using FSO/RF-FSOlink adaptation
